site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,orientation_of_transect,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,distance_from_shore (m),distance_from_nearest_river (km),distance_to_nearest_popn (km),errors,what_errors,year,date,depth (m),time_of_day_work_began,time_of_day_work_ended,method_used_to_determine_location (archived field),river_mouth_width,weather,air_temp (C),water_temp_at_surface (C),water_temp_at_3_m (C),water_temp_at_10_m (C),approx_popn_size_x_1000,horizontal_visibility_in_water (m),best_reef_area,why_was_this_site_selected,sheltered_or_exposed,any_major_storms_in_last_years,when_storms,overall_anthro_impact,what_kind_of_impacts (archived field),siltation,dynamite_fishing,poison_fishing,aquarium_fish_collection,harvest_of_inverts_for_food,harvest_of_inverts_for_curio,tourist_diving_snorkeling,sewage_pollution,industrial_pollution,commercial_fishing,live_food_fishing,artisinal_recreational,other_forms_of_fishing (archived field),other_fishing (archived field),yachts,level_of_other_impacts (archived field),other_impacts,is_site_protected,is_protection_enforced,level_of_poaching,spearfishing,banned_commercial_fishing,recreational_fishing,invertebrate_shell_collection,anchoring,diving,other_specify,nature_of_protection (archived field),site_comments,substrate_comments,fish_comments,inverts_comments,comments_from_organism_sheet (archived field),grouper_size (archived field),percent_bleaching (archived field),percent_colonies_bleached (archived field),percent_of_each_colony (archived field),suspected_disease (archived field),rare_animals_details,submitted_by (archived field)
0f85f647-a9cb-4df9-b61e-bcd8c6621ab4,147a08cb-ed32-4edc-a1a1-53c3c9ce5e9e,159.29.59.1W.22.13.12.9N,"Pu'u Poa, Princeville Beach",SE-NW,"22.22025, -159.49975",159,29,59.1,W,22,13,12.9,N,United States of America,"Hawaii, Kauai",Hanalei,Indo-Pacific,150.0,1.0,1.0,false,"",2008,14-June-08,3.0, 9:30 am,12:30 pm,"",11-50m,Sunny,29.4,27.2,27.2,"",4.0,"",Yes,High impact from tourism and local fishing,Sometimes,Yes,1996,Medium,"",Often,None,None,Low,Low,Low,High,Medium,Medium,Medium,Low,Low,"","",Many,"",Turbidity is often a problem coming from Hanalei river,true,Yes,Low (<1/month),No,No,Yes,No,No,No,"","","","","OT on substrate = native algae that is naturally existing, not an indicator of nutrient load; goatfish and orangespine unicorn fish noted but not in transect.  Diverse fish population in area of transect.  Does not seem to be evidence of fish feeding. Group debated whether white tips on the coral heads were bleaching or new growth.  We decided because the tips held no color that it was bleaching.","","","","","","",0,0,""
454c32bb-66be-43c5-a38d-c727bcd0f8ce,148d52d6-2b77-4c5c-aa22-17cd220f9d4d,157.50.53.2W.21.33.14.1N,"Ka'a'awa, O'ahu",SE-NW,"21.553917, -157.848111",157,50,53.2,W,21,33,14.1,N,United States of America,"Hawaii, Oahu",Ka'a'awa,Indo-Pacific,200.0,1.0,17.7,true,substrate incomplete,2005,27-February-05,1.7, 8:30 am,12:00 pm,Gps,<10m,Cloudy,23.5,23.5,"","",37.0,5.0,"","representative of area, safety, easy access",Sometimes,Yes,Jan 05,Medium,"",Often,None,None,None,High,None,Medium,None,None,Low,None,High,"","",Few,"","",false,"","","","","","","","","","","impacts include fishing nets, cess pools, trampling","",Bleaching seen in area but not along entire transect.  Some Porites trematidiasis present. Diademas  & Butterflyfish present in area but not seen along transect,"","","","","","",0,0,""
aec85838-3c3a-4c13-977f-c047750b25e5,15e7764f-a1fb-45b7-aa61-a4cd161adabb,157.42.52.2W.21.23.34.4N,Lanikai,NS,"21.392889, -157.7145",157,42,52.2,W,21,23,34.4,N,United States of America,"Hawaii, Oahu",Lanikai,Indo-Pacific,50.0,"",0.0,false,"",2009,08-February-09,1.2,10:00 am,11:30 am,Chart,11-50m,Cloudy,24.0,22.7,22.7,"",35.0,5.0,No,Resurvey/popular beach & snorkel site,Sometimes,Yes,"",Medium,"",Often,None,None,Low,Low,None,Medium,"",None,None,None,Medium,"","",Medium,"","",false,"","","","","","","","","","","","","lots of nematodes, also observed 1 colony of Montipora flabalata","","","","","","","10,10,10,10 nematodes",0,""
410f8f7e-6f0a-4a10-b320-5b411493c478,1b1ce0e1-3ab7-4875-bd49-54a716728c14,159.29.53.4W.22.13.7.2N,"Pu`u Po`a, Princeville Resort Beach",NE-SW,"22.218667, -159.498167",159,29,53.4,W,22,13,7.2,N,United States of America,"Hawaii, Kauai",Hanalei,Indo-Pacific,"","",0.5,false,"",2007,10-June-07,2.0,10:15 am,11:45 am,Gps,11-50m,Sunny,27.2,24.4,24.4,"",7.0,15.0,No,resurvey site from 1997,Sometimes,Yes,"Iniki 09/91, 03/06 44 days of rain",Medium,"",Often,None,None,Low,Medium,Low,High,Medium,Medium,Low,Low,Medium,"","",Many,"","",false,"","","","","","","","","","","","","some pieces of broken coral; 711 crab  @ 70m, many Grubs in the area","","","","","","",0,"",""
8760bd2e-6b13-4a2b-b55a-95a2cbe1a001,2385b5ae-5a1f-40ac-9aa5-da4d49f91c40,159.27.51.1W.22.13.37.9N,"Anini Beach, Boat Ramp","","22.227194, -159.464194",159,27,51.1,W,22,13,37.9,N,United States of America,"Hawaii, Kauai",Princeville/Kilauea,Indo-Pacific,200.0,3.0,4.0,false,"",2008,08-March-08,1.5,11:00 am, 1:30 pm,"",11-50m,Sunny,29.4,25.6,23.9,"",8.0,8.0,No,"heavy anthropogenic impact, snorkeling, fishing, boating, seaweed and invert harvesting; ease of access, ideal conditions",Sheltered,Yes,2006,High,"",Often,None,None,None,Medium,None,Medium,Medium,Low,Low,Low,High,"","",Medium,"","",false,"","","","","","","","","","",Anini Beach is very popular with the locals and tourists.  It hosts the most ideal conditions on the north shore.  It is very common to see locals walking on the reef on the way out to surf and to look for invertebrates such as octopus and lobster.  Tourists snorkel here.  There is a boat ramp which is used for many different sized boats.,"","OT on substrate= galaxaura, halameda, dictyota seaweeds…These seaweeds I do not consider NIA.   Almost all substrate, that was not living coral, was covered with a fine sediment. Hundreds of ringed sap sucking slugs along entire transect","","","","","","",0,Hundreds of ringed sap sucking slugs along entire transect,""
6e83b944-995a-4880-8387-45245392e3e4,243e983f-60c7-462f-a8a6-194a46308f8f,159.19.48.7W.22.3.5.3N,Lae Nani (Turtle Bay),NE-SW,"22.051472, -159.330194",159,19,48.7,W,22,3,5.3,N,United States of America,"Hawaii, Kauai",Wailua,Indo-Pacific,10.0,1.0,0.0,true,only did half of transect,2008,16-February-08,2.0, 9:45 am,11:00 am,Gps,11-50m,Cloudy,26.7,"","","",20.0,8.0,No,"Frequent use by locals and visitors. Pole, spear and net fishing. Snorkeling and swimming.",Exposed,Yes,2006,Medium,"",Occasionally,None,None,None,Low,None,Medium,Low,None,Low,None,Low,"","",Few,"","Presence of Acanthophera specifera on exposed reef bench, fishing line debris",true,Yes,None,No,No,No,No,No,No,monk seals,"","Transect started 210 degrees from GPS point; Due to swell and wind conditions, only 50m transect surveyed.","","OT on substrate= fleshy seaweed other than NIA.  Fleshy seaweed was observed that is naturally occuring, not due to high nutrients. Sea cucumber in 25-45 segment, several wrasses observed along transect.  Outside of transect: cornet fish, saddle wrasse, tang, school of mullet, unicorn fish","","","","","","",0,see comments,""
70b768ca-d6e9-455d-b242-9c4c99575771,28d3cd03-0fcf-4402-a8d9-feda0767fc37,157.50.2.5W.21.16.24.1N,Turtle Canyon,SE-NW,"21.273361, -157.834028",157,50,2.5,W,21,16,24.1,N,United States of America,"Hawaii, Oahu","",Indo-Pacific,500.0,1.0,0.0,false,"",2002,10-February-02,9.0, 1:00 pm, 3:30 pm,Gps,51-100m,Cloudy,24.0,24.5,22.7,"",800.0,10.0,"",popular diving/snorkeling area,Exposed,Unknown,"",Medium,"","",None,None,None,None,None,Medium,Low,None,"","","","",None,"",None,"",false,"","","","","","","","","","",There is a sewage outfall (Sand Island Outfall) located ~4 miles northwest of where we laid the transect.,"",A triton's trumpet was spotted about 20 feet from the segment 1 transect.,"","","","","","","","",""
66fab3b1-691b-446e-9e70-d6f774bf9f30,28dcfea1-606b-4ff1-9385-a3ecb2a67d6c,156.53.54.0W.20.44.0.0N,Hulopoe Bay,"","20.733333, -156.898333",156,53,54.0,W,20,44,0.0,N,United States of America,"Hawaii, Lanai","",Indo-Pacific,200.0,"","",false,"",2004,08-March-04,8.0, 8:45 am,10:45 am,"","",Sunny,"","","","","","",No,5m depth contour in cove,Sometimes,No,"",Low,"",Occasionally,None,None,None,None,None,High,None,None,None,None,Low,"","",None,"","",true,No,Low (<1/month),Yes,Yes,Yes,Yes,Yes,No,"","","Hulopoe is protected; we hope that poaching isn't happening, but don't know for sure","",Hulopoi is a marine protected area and has large diversity and abundance of fish and frequent dolphin sightings,"","","","","","",0,0,""
fa1b9568-96dd-464c-9184-c223543a17ef,2d14f9ba-351d-4948-9b61-5bb3b4dcfa32,156.26.34.8W.20.40.15.6N,Palauea Beach,NS,"20.671, -156.443",156,26,34.8,W,20,40,15.6,N,United States of America,"Hawaii, Maui",Wailea,Indo-Pacific,85.0,"",0.0,false,"",2001,15-August-01,6.0, 9:15 am, 1:00 pm,Chart,"",Sunny,27.8,26.1,26.1,26.1,100.0,40.0,"","popular dive site, planned for development shortly",Exposed,No,"",Medium,"scuba diving, fishing","",None,None,None,None,None,High,None,None,"","","",net,Low,"",None,"",false,"","","","","","","","","","","","","","","","","","","","","",""
5443e11f-1f3f-41bb-9fa3-c76c0d79ac9e,2fd8a19a-9797-422a-b694-37deb5a7c47b,159.24.52.2W.21.53.23.4N,Maha`ulepu,NE-SW,"21.889833, -159.4145",159,24,52.2,W,21,53,23.4,N,United States of America,"Hawaii, Kauai",Poipu/Koloa,Indo-Pacific,50.0,0.3,8.0,false,"",2009,18-April-09,1.5,10:00 am,11:30 am,"",<10m,Sunny,29.4,23.8,23.8,"",5.0,10.0,"",desire to monitor impacts,Sometimes,Yes,"1984, 1992(hurricaines), 1996(severe rains)",Medium,"",Occasionally,None,Low,Low,High,None,High,None,None,High,None,High,"","",Few,"",see comments,true,Yes,None,No,No,No,Yes,No,No,"
Invertebrate/shell collecting: during off season","","Hurricanes in 1984 and 1992 destroyed near shore coral; Tour boats sail in this area for whale watching and scenic viewing, occasional snorkeling. Commercial fishing is 10X that for personal consumption. Most personal fishing is spear and line, very little throw net. Chlorox has been reported for commercial fishing. Estimated 6-8 sites in the area each done perhaps once a year. Don't know if this reef is one of them. Expect it is too shallow. Walking on reef; sunscreen from swimmers; lots of debris incl fishing nets brought in from ocean currents; Conservation Zone and SMA District - very little enforcement; Transect coordinates are for Shore Reference Point - a stump at the high tide mark used on 2002and 2004 RCs. The stump had been moved this time but reference point was taken from approximately where the stump had been; Transect Start Point was off shore about 150 ft at 155 deg from stump; Transect was laid from start point approx SW for 100 m ; water temperature 75 deg F, air 85 deg F; water depth was about 2M","",Tunicates (feather dusters) observed around 75-95m.  School of Convict Tang (manini) observerd right outside 40m zone.  About 13 cornet fish observed just outside of survey zone.,"","","","","","",0,0,""
9f6fc73d-a635-40f0-8f3d-cd44d0820f42,305871bb-a344-4de0-aaeb-2d5174803fcc,159.35.11.4W.22.13.22.9N,Ke'e Beach,SE-NW,"22.223028, -159.5865",159,35,11.4,W,22,13,22.9,N,United States of America,"Hawaii, Kauai",Ha'ena (Hanalei),Indo-Pacific,2.0,1.0,15.0,true,did not do S4 of transect,2008,10-May-08,1.5, 9:00 am,11:00 am,Chart,<10m,Rainy,28.0,24.0,"","",2.0,10.0,No,"high impact by tourism, accessability",Sheltered,Yes,"",High,"",Never,None,None,Low,Low,None,High,None,None,None,None,Medium,"","",Few,"","fish feeding by tourists, reef damage by walking on reef",true,Yes,None,No,No,No,No,No,No,monk seal/green sea turtle protection,"","this area gets busy fast, every day.  We had the transect line deployed by 9;30 am and people were already swimming over it.   We chose this site because of it's high tourist impact.  While there we witnessed two couples walk across the reef (~30m) and encounter a green sea turtle to take pictures.  The transect was deployed along the western rocky bank leading out to the channel.  We started closest to the channel at the maximun safe depth and swam into shore ending just before the shoreline totaling a 75m line.","","No invasive algae observed.  Very little algae at all.  Some nutrient indicator algae but did not seem to be a problem with smothering coral compared to other sites surveyed.  No RKC observed.  PW: 0m-34.5m, SK: 35m-69.5m. Snowflake eel observed @17m (>1ft), very large sea cucumber @50m, coral damage most likely due to fish predation, 3 drupes spotted in 50 - 70m segment poss. Drupa ricina or Morula uva. Although there were few indicator fish observed, there were several wrasses, surgeons and a school of hundreds of baby - mature akule (scad).  There were also several different species of juvinile fish, many hiding in the rocks.","","","","","","",0,see comments,""
151c30bb-7927-4a0b-b859-82f2ce301929,312278df-e5cf-40ac-84b3-95a4836eebfb,159.34.48.0W.22.13.51.6N,Makua (Tunnels),NE-SW,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,United States of America,"Hawaii, Kauai","",Indo-Pacific,30.0,1.0,10.0,false,"",1999,21-August-99,10.0, 8:00 am,11:00 am,Chart,11-50m,Sunny,27.0,"","","",2.0,10.0,"","",Exposed,Yes,"",Medium,"","",None,Low,Low,Medium,Low,High,Medium,None,"","","","spear, gill net, throw net, reef harvesting",Medium,"",High,tourist snorkeling and beachgoing,false,"","","","","","","","","","","","",very little bleaching; looked like some pink band disease,"","","","","","","","",""
ae266dd6-cb4c-4bc2-9e98-d4d17da1553a,355d19e4-1b30-4b4d-ba1d-0a76b163d688,156.41.50.3W.20.55.42.4N,Kahekili Park (Old Airport Beach),NS,"20.928444, -156.697306",156,41,50.3,W,20,55,42.4,N,United States of America,"Hawaii, Maui",Kaanapali,Indo-Pacific,275.0,"",0.0,false,"",2004,03-April-04,3.0,10:00 am,12:00 pm,"","",Sunny,27.8,25.0,"","",110.0,"",No,"popular snorkel, dive and recreational site for locals and tourists",Exposed,No,"",Medium,"",Occasionally,None,None,"","",None,High,None,None,None,None,High,"","",Medium,"","no aquarium fishing seen, but presumed to occur",false,"","","","","","","","","","","Original coordinates placed this site on land, so we moved it to the closest reef. In the past 2 weeks, commercial dive operators have been banned from using the park due to liability concerns of the owners; not the best in the area but it is a beautiful reef","","The beautiful coral cover that had dominated this reef has been exposed to excessive sedimentation, presumably from the building of the new time share building","","","","","","","","",""
574e506b-1a79-44d5-857d-201ffbc46bdb,38de15fe-78ad-4510-9383-0fa4304ad382,156.2.5.9W.19.41.25.5N,Lead City/Freeze Face to Lone Tree,NS,"19.690417, -156.034972",156,2,5.9,W,19,41,25.5,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,20.0,"",0.0,false,"",2008,06-December-08,12.0,10:07 am,11:00 am,Chart,"",Cloudy,26.0,24.0,24.0,24.0,30.0,10.0,No,Calm area of the day (boat charter)/new site,Sometimes,Yes,2004,Medium,"",Occasionally,None,None,None,None,None,Medium,Low,None,Low,None,Medium,"","",None,"",non-point source cesspool leckage,true,Yes,Low (<1/month),No,No,No,No,No,No,aquarium collection,"",Transect run from dive mooring bouy to dive mooring buoy; Area of high biological concern due to construction onshore,"",0% of recorded RKC on substrate is result of bleaching; bleached coral due to natural mortality,"","","","","","","1,0.5,9,0.5",0,""
fa1b9568-96dd-464c-9184-c223543a17ef,38e24191-d860-4760-b585-02bd3094a346,156.26.34.8W.20.40.15.6N,Palauea Beach,NS,"20.671, -156.443",156,26,34.8,W,20,40,15.6,N,United States of America,"Hawaii, Maui",Wailea,Indo-Pacific,85.0,"",0.0,false,"",2001,15-August-01,7.0, 9:15 am, 1:00 pm,Chart,"",Sunny,27.8,26.1,26.1,26.1,100.0,40.0,"","popular dive site, planned for development shortly",Exposed,No,"",Medium,"scuba diving, fishing","",None,None,None,None,None,High,None,None,"","","",net,Low,"",None,"",false,"","","","","","","","","","","","","","","","","","","","","",""
ea82c8b7-001a-4876-bb85-6dc90f9a3ef9,391c8031-998e-42b7-ab1c-0a1d3e1ded5d,157.49.33.4W.21.28.14.2N,Kaneohe Bay Patch Reef Green 15 Channel Marker,"","21.470611, -157.825944",157,49,33.4,W,21,28,14.2,N,United States of America,"Hawaii, Oahu",Kaneohe,Indo-Pacific,1400.0,1.9,2.0,false,"",2007,04-August-07,1.5,10:15 am,11:45 am,Gps,51-100m,Sunny,29.0,27.0,"","",55.0,15.0,No,proximity to Lae nani beach park,Sheltered,Yes,2006 40 days of rain,Medium,"",Occasionally,None,None,High,High,High,High,Low,High,High,Low,High,"","",Medium,"","",false,"","","","","","","","","","","","",cinder block in 25-45m section,"","","","","","",0,1 turtle,""
ae266dd6-cb4c-4bc2-9e98-d4d17da1553a,3a9dfd0b-0248-4db2-83b5-ae17aa89f59b,156.41.50.3W.20.55.42.4N,Kahekili Park (Old Airport Beach),NS,"20.928444, -156.697306",156,41,50.3,W,20,55,42.4,N,United States of America,"Hawaii, Maui",Kaanapali,Indo-Pacific,275.0,"",0.0,false,"",2004,03-April-04,10.0,10:00 am,12:00 pm,"","",Sunny,27.8,25.0,"","",110.0,"",No,"popular snorkel, dive and recreational site for locals and tourists",Exposed,No,"",Medium,"",Occasionally,None,None,"","",None,High,None,None,None,None,High,"","",Medium,"","no aquarium fishing seen, but presumed to occur",false,"","","","","","","","","","","In the past 2 weeks, commercial dive operators have been banned from using the park due to liability concerns of the owners; not the best in the area but it is a beautiful reef","","","","","","","","","","",""
1d83bf56-299f-4c31-9ed4-cb22e28a0572,3d1cad70-eae9-44d3-a7ad-56463873d727,158.2.24.7W.21.40.36.8N,Sunset Point,"","21.676889, -158.040194",158,2,24.7,W,21,40,36.8,N,United States of America,"Hawaii, Oahu",Haleiwa,Indo-Pacific,65.0,0.1,10.0,false,"",2003,28-June-03,3.0,11:00 am,12:45 pm,"",<10m,Rainy,"","","","",2.0,10.0,Yes,close to drain culvert opening,Exposed,Yes,1991,"","",Occasionally,None,None,"","","",High,"","",Medium,"",Medium,"","",Few,"","",false,"","","","","","","","","","",bearing of transect = 25 deg from start point,"","","","","","","","","","",""
